Episode 342 | Reward 36.63 | Avg Loss 0.0178 | Epsilon 0.503
Episode 343 | Reward 39.53 | Avg Loss 0.0173 | Epsilon 0.502
Episode 344 | Reward 35.31 | Avg Loss 0.0174 | Epsilon 0.501
Episode 345 | Reward 35.36 | Avg Loss 0.0177 | Epsilon 0.500
Episode 346 | Reward 38.51 | Avg Loss 0.0191 | Epsilon 0.499
Episode 347 | Reward 40.11 | Avg Loss 0.0170 | Epsilon 0.498
Episode 348 | Reward 37.13 | Avg Loss 0.0177 | Epsilon 0.497
Episode 349 | Reward 41.14 | Avg Loss 0.0183 | Epsilon 0.496
Episode 350 | Reward 40.29 | Avg Loss 0.0180 | Epsilon 0.495
Episode 351 | Reward 41.01 | Avg Loss 0.0190 | Epsilon 0.494
Episode 352 | Reward 37.10 | Avg Loss 0.0186 | Epsilon 0.493
Episode 353 | Reward 41.60 | Avg Loss 0.0192 | Epsilon 0.492
Episode 354 | Reward 38.97 | Avg Loss 0.0183 | Epsilon 0.491
Episode 355 | Reward 36.91 | Avg Loss 0.0183 | Epsilon 0.490
Episode 356 | Reward 35.26 | Avg Loss 0.0183 | Epsilon 0.489
Episode 357 | Reward 39.95 | Avg Loss 0.0195 | Epsilon 0.488
